MKTSAVECASELOAD	952851	0.07	09-MAR-26	40069	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MV_MKTPLAN	1419741	0.07	07-MAY-26	30384	0	15405	0	17	418352	BOTH AGREE ? ACTIVE
MKTPNODEDEF	577432	0.06	06-MAY-26	28492	0	14827	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITPLANORIG	578958	0.06	07-JUL-18	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTUNITRAMPRATE	381045	0.05	07-MAY-26	5157	0	4279	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITWINDFIVEMIN	530092	0.05	01-AUG-19	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTHRLYINTEGDYNSCHED	672320	0.05	07-MAY-26	12796	0	12704	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTDSRREG	589606	0.05	07-MAY-26	7938	0	3970	0	26	0	BOTH AGREE ? ACTIVE
MKTDSRREGBIDHOURLY	581326	0.05	07-MAY-26	32315	0	25084	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
AUDMKTDSRREGAVAILABILITY	526893	0.05	07-MAY-26	12773	0	0	0	26	0	BOTH AGREE ? ACTIVE
MKTPLANEMERGENCYDSRDFAX	688328	0.04	25-JAN-26	56660	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITREGBIDDAILY	405636	0.04	07-MAY-26	630	0	317	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTLRSYNCHRESVBIDHOURLY	318361	0.04	07-MAY-26	20048	0	13563	0	46	0	BOTH AGREE ? ACTIVE
CONTINGENCYEQUIPMENT	334920	0.04	07-MAY-26	15542	0	6742	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTCTGSAVECASECONTINGENCY	597424	0.04	07-MAY-26	36365	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTASAREAHOURLY	797688	0.04	24-APR-23	40392	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPRDRESPONSECURVE	485551	0.04	07-MAY-26	12151	0	8252	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTDSRSPINBIDHOURLY	392335	0.03	01-OCT-22	3405	1247	2943	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTCB	192666	0.03	09-MAR-26	12421	0	1	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
SPINREPORTDETAILS_T	640114	0.03	13-MAR-26	35028	0	17621	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTTRANSACTIONHOURLY	224742	0.03	25-FEB-24	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MV_MKTPLAN_12042017	548597	0.03	04-DEC-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MV_MKTPLAN_APPROVED_12042017	961988	0.03	04-DEC-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
REGLOCCURVEDATA_TEMP	1994	0.02	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
